Wilayah,Narsum,Kategori_Responden,Pertanyaan,Tanggapan
Jayawijaya,GTY,KII,Apa saja kebutuhan utama saat ini dan yang akan datang?,"Dinamika Keamanan, Politik, Sosial, dan Krisis adalah Situasi keamanan di Wamena dan Pegunungan Tengah relatif terkendali sepanjang 2023–2025, meskipun terdapat kekhawatiran eskalasi menjelang Pemilu 2024–2025. Fakta menunjukkan bahwa Pemilu berlangsung aman dan sukses. Namun, kerentanan tetap ada, terutama terkait krisis moneter dan inflasi pangan. Data BPS 2024 mencatat inflasi tertinggi nasional terjadi di Papua Pegunungan (5,65%). Hal ini menegaskan perlunya strategi antisipasi berupa jaminan **Sandang, Pangan, Papan**, dengan fokus pada akses logistik melalui jalur udara (Wamena sebagai pintu utama)"
Jayawijaya,GTY,KII,Apa saja ketegangan yang ada di negara ini dan Bagaimana ketegangan-ketegangan tersebut muncul?,"Riak ketegangan lebih banyak muncul di area pertambangan rakyat, seperti di Yahukimo, akibat benturan kepentingan antara kelompok sipil bersenjata dan penambang. Meski demikian, eskalasi tidak meluas ke tingkat provinsi dan dapat dikendalikan pemerintah daerah. Artinya, konflik bersifat lokal, namun tetap berpotensi mengganggu stabilitas jika tidak ditangani dengan pendekatan regulasi dan mediasi yang tepat."
Jayawijaya,GTY,KII,"Siapa saja kelompok rentan.berisiko tinggi ? Bagaimana peningkatan ketegangan akan mempengaruhi kelompok-kelompok tersebut, terutama anak-anak dan remaja?"," Anak-anak dan remaja di Kabupaten Nduga menjadi kelompok paling rentan, terutama terkait peristiwa penyanderaan pilot Susi Air oleh kelompok Egianus Kogoya. Pembebasan yang aman pada 2024 menunjukkan bahwa  komunikasi berbasis nilai kemanusiaan  adalah kunci. Meski data spesifik tentang dampak terhadap anak dan remaja masih terbatas, indikasi kerentanan tetap tinggi di wilayah konflik. "
Jayawijaya,GTY,KII,"Siapa saja kelompok rentan berisiko tinggi ? Bagaimana peningkatan ketegangan akan mempengaruhi kelompok-kelompok tersebut, terutama anak-anak dan remaja?","Ketegangan antara kelompok sipil bersenjata dan aparat TNI/Polri di Nduga dan sekitarnya berdampak langsung pada masyarakat sipil. Anak-anak dan remaja sering menjadi korban tidak langsung, misalnya melalui keterbatasan akses pendidikan dan trauma akibat konflik."
Jayawijaya,GTY,KII,Apa yang menyatukan atau memecah belah masyarakat di wilayah ini?,"Faktor penyatu masyarakat Papua Pegunungan adalah adat dan kekerabatan (kepala suku, sistem patrilineal). Namun, tradisi perang suku masih menjadi pemicu utama konflik lokal. Tradisi ini, meski memiliki akar budaya, kini sering bertransformasi menjadi konflik sosial yang menghambat pembangunan."
Jayawijaya,GTY,KII,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?","Pemerintah daerah berperan penting dalam meredakan konflik, dengan melibatkan tokoh agama, adat, pemuda, perempuan, serta aparat keamanan. Pendekatan **merangkul simpul akar rumput** terbukti efektif dalam mengembalikan kondisi kondusif."
Jayawijaya,GTY,KII,Kelompok mana yang paling berpengaruh dan di mana mereka berada?,"Kelompok sipil bersenjata pimpinan Egianus Kogoya memiliki basis di Nduga dan Jayawijaya, dengan aktivitas gerilya lintas kabupaten."
Jayawijaya,GTY,KII,Apa tujuan dan kemampuan yang mereka miliki?,"Tujuan utama mereka adalah mempertahankan ideologi Papua Merdeka. Kelompok ini memiliki struktur militer dan politik, serta jaringan internasional, terutama di negara-negara Pasifik Selatan."
Jayawijaya,GTY,KII,Bagaimana hubungan di antara mereka?,"Hubungan antar faksi lebih banyak bersifat kompetitif dan konflik, namun mereka tetap konsisten dalam menggalang legitimasi melalui media. Hal ini menunjukkan adanya strategi komunikasi politik yang terstruktur."
Jayawijaya,GTY,KII,Bagaimana Anda/bagaimana Anda melihat mereka?,"Pengaruh mereka cukup signifikan, mampu memengaruhi opini publik lokal maupun internasional. Pemerintah Indonesia perlu mencermati afiliasi eksternal mereka, karena dapat memperkuat narasi separatisme di forum internasional."
Jayawijaya,GTY,KII,Apa yang Anda perkirakan akan terjadi dalam 6 bulan ke depan terkait dengan,"Potensi krisis pangan dan keterbatasan transportasi udara tetap menjadi ancaman utama. Stabilitas politik relatif terjaga, namun kerentanan ekonomi dan sosial dapat memicu ketegangan baru."
Jayawijaya,GTY,KII,Apa konsekuensi/dampak konteks ini bagi operasional LSM,Program strategis LSM berpotensi terhambat akibat akses terbatas dan risiko keamanan staf. Perlu strategi adaptif untuk memastikan keberlanjutan program.
Jayawijaya,GTY,KII, Apa konsekuensinya terhadap Kegiatan respon bencana konflik/kegiatan pemberdayaan/kegiatan yang sifatnya membangun perdamaian,"Konflik: perlu analisis akar masalah, komunikasi berjenjang, dan koordinasi pusat-daerah."
Jayawijaya,GTY,KII, Apa konsekuensinya terhadap Kegiatan respon bencana konflik/kegiatan pemberdayaan/kegiatan yang sifatnya membangun perdamaian,Bencana: penetapan status (daerah/nasional) serta kesiapan logistik.
