Wilayah,Kelompok_Usia,Jenis_Kelamin,Kategori_Responden,Pertanyaan,Tanggapan
Jayawijaya,Anak,Laki laki,Masyarakat,Kehidupan sehari-hari bikin apa?,"Kehidupan setiap hari hanya belajar, pulang kerumah"
Jayawijaya,Anak,Laki laki,Masyarakat,Kehidupan sehari-hari bikin apa?,"Sebagai pelajar menimbah ilmu, sore ektrakurikuler dan malam membantu orang tua"
Jayawijaya,Anak,Laki laki,Masyarakat,Kehidupan sehari-hari bikin apa?,"Belajar, kerja bantu orang berkekurangan dan aktifitas lain"
Jayawijaya,Anak,Laki laki,Masyarakat,Kehidupan sehari-hari bikin apa?,"Belajar, pulang bantu orang tua kalau tidak ada tambahan les"
Jayawijaya,Anak,Laki laki,Masyarakat,Kehidupan sehari-hari bikin apa?,Belajar dan setelah itu beraktivitas di gereja seperti rumah baca (hari selasa dan rabu)
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang berubah dalam beberapa bulan terakhir?,"Di gereja biasa aktif dan sudah ada jadwalnya tapi kalau ada masalah jadi tidak aktif (contoh masalah : duka, masalah dalam keluarga)"
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang berubah dalam beberapa bulan terakhir?,Akses keluar komplek rumah dulu tidak bagus tapi sekarang sudah berubah (jalan sudah baik) sehingga aksesnya semakin baik
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang berubah dalam beberapa bulan terakhir?,Dulu sebelum bergabung jadi Guru sekolah minggu saya takut bicara karena takut salah tapi semenjak gabung saya sudah mulai berani dan bisa mengambil bagian
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang berubah dalam beberapa bulan terakhir?,"Dulu takut bicara di depan umum tapi setelah mulai gabung di gereja dan mulai terlibat dalam komunitas saya mulai belajar berbaur, tidak takut bicara lagi, dan berani tampil"
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang berubah dalam beberapa bulan terakhir?,Tahun-tahun sebelumnya saya selalu bergaul sembarang dan bisa bergaul tanpa melihat sisi baik buruknya tapi semenjak masuk SMA saya mulai menyadari kalau saya harus memilih siapa teman yang baik.
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang berubah dalam beberapa bulan terakhir?,"Di lingkungan sekolah teman-teman saya malas tau dengan pelajaran, jadi ada teman yang kadang ajak saya bolos tapi saya menyadari saya punya masa depan jadi saya harus berani menolak"
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang akan terjadi di lingkunganmu kedepan dalam waktu dekat?,Komunitas gereja saya dari kalangan anak yang punya arah dan tujuan akan tetap bertahan tetapi anak-anak yang tidak memahami arah dan tujuan mereka tidak akan bertahan
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang akan terjadi di lingkunganmu kedepan dalam waktu dekat?,Perubahan yang terjadi jika generasi yang ada mendidik generasi kecil / penerus dengan baik maka ke depan generasi itu akan membaik.
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang akan terjadi di lingkunganmu kedepan dalam waktu dekat?,Di sekolah teman-teman saya lebih suka hal menyenangkan sesaat tanpa memikirkan ke depan akan seperti apa sehingga ke depan tidak memiliki tujuan hidup
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang biasa bikin kamu rasa aman?,Selain dengan keluarga juga ketika dekat dengan Tuhan
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang biasa bikin kamu rasa aman?,Di gereja saya merasa aman kalau ada kakak-kakak di gereja yang bantu
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang biasa bikin kamu rasa aman?,Di gereja saya merasa aman ketika belajar Firman Tuhan dan bersama dengan generasi saya
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang biasa bikin kamu rasa aman?,Saya aman kalau saya punya masalah lalu masuk di dalam kamar dan berdoa dan tungggu bapak pulang dan bercerita
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang biasa bikin kamu rasa aman?,"Gereja, rumah dan sekolah karena di sekolah saya bisa fokus belajar, dirumah bisa kumpul dengan keluarga dan di gereja saya aman karena bisa melayani dan belajar"
Jayawijaya,Anak,Laki laki,Masyarakat,Apa yang biasa bikin kamu rasa aman?,Nyaman bersama keluarga dan doa
Jayawijaya,Anak,Laki laki,Masyarakat,Apa ketakutanmu?,"Orang tua sakit, saya harus jaga dan bantu apa yang diperlukan mereka"
